Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
228,EQ,18-Jun-18,2029.6,2030.1,2038.8,2009.1,2018,2019.15,2019.92,1871851,3780992320,86693,1149303,61.4
229,IL,18-Jun-18,2060,2030,2030,2030,-,2030,2030,100340,203690200,3,100340,100
230,EQ,19-Jun-18,2019.15,2024.95,2040.7,2019.3,2023,2023.5,2028.53,2745288,5568904836,117626,1709015,62.25
231,EQ,20-Jun-18,2023.5,2026,2058,2025,2056,2056.15,2046.34,2262928,4630722761,90621,1568971,69.33
232,EQ,21-Jun-18,2056.15,2060,2070.8,2047.05,2056.55,2057.6,2058.53,3377676,6953041564,115968,1771901,52.46
233,EQ,22-Jun-18,2057.6,2056.95,2088.8,2049.85,2082.25,2083.35,2066.71,1962245,4055397421,61594,935825,47.69
234,EQ,25-Jun-18,2083.35,2083.05,2097.8,2073.05,2094.95,2094.95,2090.83,1748084,3654945764,92981,1066469,61.01
235,EQ,26-Jun-18,2094.95,2086.05,2103,2079.85,2092,2093.7,2096.18,2290483,4801266127,105856,1488070,64.97
236,EQ,27-Jun-18,2093.7,2093,2119.5,2090,2114.9,2112.6,2111.09,4781701,10094601459,143081,3797571,79.42
237,IL,27-Jun-18,2030,2110,2110,2110,-,2110,2110,25,52750,1,25,100
238,EQ,28-Jun-18,2112.6,2115,2140,2111.2,2126.5,2130.85,2127.87,9383385,19966613732,164533,6546679,69.77
239,EQ,29-Jun-18,2130.85,2121.7,2140,2105.1,2111,2108.45,2124.32,4864530,10333807329,133620,3762199,77.34
240,EQ,02-Jul-18,2108.45,2108.35,2108.4,2063.25,2069.85,2073.25,2078.06,2466219,5124945923,118052,1633841,66.25
241,EQ,03-Jul-18,2073.25,2073.25,2085,2065.6,2070,2070.2,2073.27,1715775,3557268418,64961,1133429,66.06
242,EQ,04-Jul-18,2070.2,2076.25,2108.05,2069,2100.9,2103.55,2090.23,1524498,3186547035,67233,867409,56.9
243,EQ,05-Jul-18,2103.55,2105,2129,2092.55,2120.5,2123.75,2119.49,2433992,5158831728,135292,1634932,67.17
244,EQ,06-Jul-18,2123.75,2113.3,2135.55,2111.35,2118,2115.15,2122.21,2030336,4308795256,76333,1394036,68.66
245,EQ,09-Jul-18,2115.15,2121.85,2130,2107.75,2126.4,2125.65,2123.14,1545574,3281471871,56861,957033,61.92
246,EQ,10-Jul-18,2125.65,2129.9,2149.6,2125,2148,2146.4,2144.28,2737684,5870364268,80725,1953799,71.37
247,EQ,11-Jul-18,2146.4,2145.05,2155.7,2134.8,2148.75,2148.25,2148.79,1464480,3146852928,63991,828199,56.55
248,EQ,12-Jul-18,2148.25,2152.9,2179.85,2152,2163.05,2165.95,2170.17,2005167,4351559175,87962,926204,46.19
249,EQ,13-Jul-18,2165.95,2168.4,2190.8,2163.1,2181,2180.9,2182.75,1790297,3907766216,71689,1108502,61.92
250,EQ,16-Jul-18,2180.9,2179.4,2190.05,2163.75,2169,2168.85,2173.65,2254334,4900127771,108838,1668988,74.03
251,EQ,17-Jul-18,2168.85,2163.25,2181,2163.25,2179.35,2176.75,2174.09,1590481,3457854302,67757,1122147,70.55
252,EQ,18-Jul-18,2176.75,2187,2220,2173.65,2175.05,2176.2,2197.09,4365068,9590431537,171949,2759227,63.21
253,EQ,19-Jul-18,2176.2,2183,2193.5,2171,2189.85,2186.1,2183.12,1326194,2895239288,64415,577761,43.57
254,EQ,20-Jul-18,2186.1,2186.1,2202.85,2171.1,2185,2189.05,2181.89,2501741,5458512868,106355,1752814,70.06
255,EQ,23-Jul-18,2189.05,2150,2178,2138.05,2149.7,2156.45,2161.43,4220033,9121307521,133259,2430709,57.6
256,EQ,24-Jul-18,2156.45,2147,2169,2147,2162.5,2159.75,2161.82,1302198,2815119558,68274,675430,51.87
257,EQ,25-Jul-18,2159.75,2164.65,2176.8,2160,2171.5,2170.35,2169.01,1759654,3816707951,90191,1050926,59.72
258,EQ,26-Jul-18,2170.35,2165,2203.45,2165,2197.1,2192.6,2187.34,5320273,11637254767,127857,3327638,62.55
259,EQ,27-Jul-18,2192.6,2201.95,2211.95,2184.7,2203.05,2202.15,2198.69,2638649,5801564431,89804,1858964,70.45
260,EQ,30-Jul-18,2202.15,2199,2199,2159.4,2164.7,2169.9,2172.52,1792280,3893772395,74697,1033733,57.68
261,EQ,31-Jul-18,2169.9,2160,2185.9,2150.05,2183.45,2179.5,2166.28,2215236,4798817148,98101,1349477,60.92
262,EQ,01-Aug-18,2179.5,2162.8,2175,2151.7,2153.7,2158.7,2165.15,1517890,3286456658,70160,970508,63.94
263,EQ,02-Aug-18,2158.7,2153.5,2153.7,2121.35,2131.6,2130.2,2133.82,2226426,4750789247,99571,1420930,63.82
264,EQ,03-Aug-18,2130.2,2133.55,2147.05,2114,2121.25,2121.65,2125.56,3401002,7229046230,96409,2509448,73.79
265,EQ,06-Aug-18,2121.65,2121,2137.4,2106.1,2114.5,2114.3,2121.83,1436158,3047281357,83966,715425,49.82
266,EQ,07-Aug-18,2114.3,2125,2134.5,2108,2133.8,2130.9,2122.33,1857114,3941407413,90909,1000787,53.89
267,EQ,08-Aug-18,2130.9,2135.85,2151.8,2133.05,2137,2136.35,2142.56,2486345,5327149223,77692,1585046,63.75
268,EQ,09-Aug-18,2136.35,2142,2142,2094.65,2119.9,2118.5,2113.99,2236102,4727093946,87015,958780,42.88
269,EQ,10-Aug-18,2118.5,2123.5,2123.8,2098,2115,2114.45,2113.08,1360735,2875336119,55600,719008,52.84
270,EQ,13-Aug-18,2114.45,2084,2103.95,2080,2091,2091.65,2086.73,2513563,5245117093,125373,1508421,60.01
271,EQ,14-Aug-18,2091.65,2098,2105,2087.2,2089.3,2089.1,2096.29,1233991,2586799337,73903,727048,58.92
272,EQ,16-Aug-18,2089.1,2083,2086.7,2066.4,2075.4,2075.7,2075.3,2656290,5512588626,111884,1854512,69.82
273,EQ,17-Aug-18,2075.7,2082.9,2093.05,2071.65,2077,2077.35,2083.55,1516332,3159352233,61019,1093789,72.13
274,EQ,20-Aug-18,2077.35,2075,2107.6,2075,2098.3,2096.2,2097.76,1952784,4096467595,106058,1192922,61.09
275,BL,21-Aug-18,470,2096.2,2096.2,2096.2,2096.2,2096.2,2096.2,120298,252168667.6,1,120298,100
276,EQ,21-Aug-18,2096.2,2098,2112,2092.65,2097,2096.05,2102.15,1944080,4086746411,68551,1421918,73.14
277,EQ,23-Aug-18,2096.05,2105,2107,2076.85,2079.9,2079.9,2089.39,3143638,6568270565,106905,2528197,80.42
278,EQ,24-Aug-18,2079.9,2071,2093.6,2066.05,2070,2069.85,2076.05,2428657,5042021707,71991,1808393,74.46
279,EQ,27-Aug-18,2069.85,2077,2088.5,2070.25,2082.95,2080.45,2079.6,3143697,6537626117,77365,1913949,60.88
280,EQ,28-Aug-18,2080.45,2088,2098.25,2078.8,2097.4,2094.85,2085.96,2493383,5201100522,56947,1851997,74.28
281,EQ,29-Aug-18,2094.85,2092.15,2094.05,2072.75,2082.9,2078.5,2082.02,2468423,5139296267,90836,1782109,72.2
282,EQ,30-Aug-18,2078.5,2083.6,2087.9,2061.85,2068,2066.1,2068.31,5456865,11286474714,133557,4345737,79.64
283,EQ,31-Aug-18,2066.1,2069.2,2078.75,2058.25,2059.95,2061.2,2066.01,3942875,8146013033,140776,3181673,80.69
284,EQ,03-Sep-18,2061.2,2069.4,2078.95,2063.5,2073.95,2075.05,2074.56,1915402,3973616595,65178,1283227,67
285,EQ,04-Sep-18,2075.05,2076.9,2077.95,2049,2052.05,2051.8,2058.91,1782634,3670291387,67279,1256959,70.51
286,EQ,05-Sep-18,2051.8,2053.8,2060.2,2035.55,2044.35,2045.85,2044.77,1410377,2883899267,73829,797823,56.57
287,EQ,06-Sep-18,2045.85,2049,2059,2032.6,2050.15,2052.2,2044.28,2600603,5316362857,125530,1571661,60.43
288,EQ,07-Sep-18,2052.2,2051,2060,2040.75,2059,2056.95,2049.34,1479825,3032658572,78038,879399,59.43
289,EQ,10-Sep-18,2056.95,2055,2055,2025.1,2039,2041.15,2035.83,2149648,4376324619,81719,1391506,64.73
290,EQ,11-Sep-18,2041.15,2046.3,2048,1994.15,2000.1,2000.4,2016.36,4546634,9167648376,134132,3634555,79.94
291,EQ,12-Sep-18,2000.4,2001.9,2021.35,1989.55,2017.8,2011.85,2003.65,3061502,6134193206,106281,2063215,67.39
292,EQ,14-Sep-18,2011.85,2019.85,2037.4,2018.95,2027.75,2029.6,2025.31,2583668,5232736593,104303,1910009,73.93
293,EQ,17-Sep-18,2029.6,2021.3,2022.95,1988,1991.95,1992.2,1996.62,2334555,4661229732,98788,1707061,73.12
294,EQ,18-Sep-18,1992.2,1994.9,2009.85,1980.95,1991,1989.2,1996.22,2331434,4654066699,119091,1494911,64.12
295,EQ,19-Sep-18,1989.2,1994.85,1998,1956.5,1962.15,1961.35,1972.12,4178066,8239636739,158841,2892899,69.24
296,EQ,21-Sep-18,1961.35,1973.9,1999.85,1910.2,1976,1970.25,1972.83,5652537,11151516853,159768,3618031,64.01
297,EQ,24-Sep-18,1970.25,1967.25,1972.2,1915,1922,1925.7,1944.39,3347698,6509244679,144878,2192667,65.5
298,EQ,25-Sep-18,1925.7,1925.7,1962,1915,1961.7,1952.4,1936.01,4170638,8074408157,125022,2492934,59.77
299,EQ,26-Sep-18,1952.4,1962.95,1978,1955.3,1966.05,1968.2,1966.04,3681681,7238341783,145107,2807141,76.25
300,EQ,27-Sep-18,1968.2,1969.4,1986,1955.15,1978.1,1976.15,1972.52,4588052,9050041002,116913,3341974,72.84
301,EQ,28-Sep-18,1976.15,1980.65,2015.45,1977.15,2008.5,2006.05,2002.53,3615179,7239503402,106240,2096118,57.98
302,EQ,01-Oct-18,2006.05,2009.8,2042,1997.8,2039.9,2035.45,2020.89,3112397,6289802724,137110,2063063,66.29
303,EQ,03-Oct-18,2035.45,2030.45,2052.2,2007,2031,2031.15,2030.01,3833037,7781099200,186478,2644623,69
304,EQ,04-Oct-18,2031.15,2008,2017.8,1943,1945,1957.75,1977.74,4492646,8885267602,153828,2558885,56.96
305,EQ,05-Oct-18,1957.75,1953.95,1990,1940.15,1950,1965.3,1969.01,3932295,7742732615,128211,2248905,57.19
306,EQ,08-Oct-18,1965.3,1965,1969,1930,1940,1945,1952.44,5032005,9824668680,169225,3483442,69.23
307,EQ,09-Oct-18,1945,1944.4,1965,1930,1945.95,1940.6,1944.92,3114841,6058129369,88603,1953889,62.73
308,EQ,10-Oct-18,1940.6,1945,1982.25,1935.5,1968.4,1967.15,1963.16,3984983,7823155390,117923,2403363,60.31
309,EQ,11-Oct-18,1967.15,1925,1948.3,1917.6,1941,1937.55,1931.15,3589976,6932797362,129986,2331832,64.95
310,EQ,12-Oct-18,1937.55,1945,1997.1,1942,1977,1981.85,1981.23,2400080,4755112135,93778,1539425,64.14
